claim_number,subrogation,claim_est_payout,liab_prct,claim_date,claim_day_of_week,channel,zip_code,witness_present_ind,policy_report_filed_ind,in_network_bodyshop,accident_key,policyholder_key,vehicle_key,driver_key
7404076,0,5805.8,39,3/5/2016,Monday,Broker,20115,Y,1,yes,8.0,3431.0,4210.0,4041.0
2067071,1,2474.32,27,5/30/2016,Friday,Phone,80005,N,1,yes,10.0,3432.0,4211.0,4042.0
6834579,0,3483.22,42,2/16/2015,Friday,Broker,50043,N,0,yes,1.0,3433.0,4212.0,1256.0
6195112,0,4940.71,49,11/7/2016,Wednesday,Broker,50005,N,0,no,9.0,3434.0,4213.0,3601.0
9820061,0,1544.64,47,2/4/2016,Monday,Broker,20121,Y,1,yes,2.0,3435.0,4214.0,4043.0
9535035,1,789.38,37,1/7/2016,Sunday,Online,80104,Y,1,yes,3.0,3436.0,4215.0,4044.0
2688595,0,423.02,51,11/27/2015,Monday,Broker,85034,N,1,yes,8.0,3437.0,4216.0,4045.0
9452129,0,3538.47,54,8/3/2015,Monday,Broker,50003,N,0,yes,1.0,3438.0,4217.0,1846.0
2578068,0,3399.47,40,6/15/2015,Saturday,Online,15050,N,0,yes,11.0,3439.0,4218.0,4046.0
1061108,0,1204.58,42,8/22/2016,Sunday,Broker,20104,N,1,yes,8.0,3440.0,4219.0,4047.0
3959841,0,1951.44,58,1/10/2015,Tuesday,Online,50033,N,0,no,4.0,3441.0,4220.0,4048.0
6228609,0,3526.03,32,9/19/2015,Saturday,Online,20117,N,1,yes,4.0,3442.0,4221.0,4049.0
1243118,0,15886.43,39,3/30/2016,Thursday,Phone,85054,N,1,yes,3.0,3443.0,4222.0,1885.0
4791272,1,1446.79,29,8/7/2015,Sunday,Broker,20101,Y,1,yes,3.0,3444.0,4223.0,4050.0
5085843,1,2760.39,32,11/11/2015,Tuesday,Phone,15025,Y,1,no,9.0,3445.0,4224.0,4051.0
8807019,0,2975.66,20,3/13/2016,Saturday,Phone,85012,N,0,yes,10.0,3446.0,4225.0,4052.0
9544394,0,5557.81,40,8/9/2016,Sunday,Phone,15021,N,0,yes,10.0,3447.0,4226.0,4053.0
5391848,1,411.44,49,3/20/2016,Wednesday,Online,85028,N,0,yes,2.0,74.0,4227.0,4054.0
4183203,0,6604.84,41,8/31/2015,Thursday,Broker,20152,Y,1,yes,3.0,3448.0,4228.0,4055.0
7524835,0,5721.54,26,1/7/2015,Saturday,Phone,85010,N,1,yes,6.0,87.0,4229.0,4056.0
9946702,0,1543.29,36,3/1/2016,Friday,Broker,15025,Y,1,yes,5.0,3449.0,4230.0,4057.0
2560233,0,2183.32,63,6/18/2016,Tuesday,Phone,20153,Y,1,yes,8.0,36.0,4231.0,4058.0
9457383,0,7285.11,38,8/31/2015,Sunday,Phone,80020,Y,1,yes,3.0,3450.0,4232.0,4059.0
7735422,1,869.2,16,2/5/2016,Thursday,Phone,85064,N,1,yes,11.0,1598.0,4233.0,4060.0
7634964,0,1000.88,20,12/7/2015,Thursday,Broker,80024,Y,1,yes,7.0,87.0,4234.0,4061.0
6804137,0,2631,48,2/19/2015,Monday,Phone,50054,N,1,yes,9.0,3451.0,4235.0,4062.0
3397878,0,2067.08,21,2/5/2016,Sunday,Broker,20115,N,1,no,8.0,3452.0,4236.0,4063.0
8544425,0,4857,37,11/24/2015,Thursday,Phone,80040,Y,1,yes,8.0,3453.0,4237.0,4064.0
8844165,1,890.71,33,3/22/2016,Friday,Broker,50022,N,1,yes,11.0,3454.0,4238.0,4065.0
2778656,1,4175.42,33,6/5/2015,Wednesday,Online,15001,Y,0,yes,11.0,14.0,4239.0,4066.0
7041040,0,2455.23,54,11/9/2015,Thursday,Phone,80027,N,0,yes,2.0,3455.0,4240.0,4067.0
3741793,0,1796.88,57,6/14/2015,Wednesday,Broker,85051,N,0,yes,10.0,3456.0,4241.0,4068.0
9909205,0,9129.91,49,2/13/2016,Tuesday,Broker,85020,Y,1,no,7.0,3457.0,4242.0,4069.0
8630451,0,421.64,35,3/21/2015,Friday,Phone,85012,Y,1,yes,9.0,3458.0,4243.0,4070.0
3418758,1,5458.09,34,1/27/2015,Tuesday,Online,80011,Y,1,yes,1.0,3459.0,4244.0,4071.0
2659964,0,2300.41,29,3/1/2015,Monday,Online,85040,N,0,yes,7.0,36.0,4245.0,4072.0
1480640,0,925.94,40,8/6/2015,Wednesday,Phone,20151,N,1,yes,5.0,3460.0,4246.0,3153.0
9923917,0,1497.33,40,9/15/2015,Monday,Broker,80105,N,1,no,4.0,3461.0,4247.0,4073.0
8447827,0,2648.51,38,7/12/2015,Thursday,Broker,80023,N,1,yes,6.0,3462.0,4248.0,4074.0
8809862,0,1195.16,50,9/24/2015,Tuesday,Phone,80021,N,1,no,12.0,3463.0,4249.0,4075.0
8232562,1,2630.25,29,10/11/2015,Saturday,Broker,15022,Y,1,no,11.0,3464.0,4250.0,4076.0
8720979,0,5292.89,66,2/4/2016,Sunday,Phone,80105,N,0,no,9.0,3465.0,4251.0,4077.0
5040029,0,2165.15,32,6/28/2016,Wednesday,Broker,85071,Y,0,yes,7.0,3466.0,4252.0,4078.0
2068499,1,2067.57,29,8/27/2016,Sunday,Broker,50027,Y,0,yes,10.0,3467.0,4253.0,4079.0
8488737,0,3516.01,35,6/20/2016,Friday,Phone,15032,Y,1,yes,10.0,3468.0,4254.0,4080.0
4359327,0,10328.29,32,5/11/2015,Friday,Online,15014,Y,1,yes,12.0,3469.0,4255.0,4081.0
4134443,0,5955.01,50,12/18/2015,Wednesday,Broker,15022,N,0,yes,5.0,3470.0,4256.0,4082.0
6806522,0,21504.28,41,8/10/2016,Friday,Phone,80022,N,0,yes,7.0,3471.0,4257.0,4083.0
4846037,0,876.51,33,8/25/2016,Thursday,Broker,50020,N,0,no,7.0,3472.0,4258.0,4084.0
9404484,1,476.26,30,4/20/2015,Sunday,Broker,85045,Y,0,no,7.0,3473.0,4259.0,4085.0
5139467,0,10320.29,50,6/5/2015,Saturday,Broker,20116,N,0,no,10.0,36.0,4260.0,4086.0
8336379,0,8308.52,38,1/30/2015,Sunday,Phone,85062,N,0,no,11.0,3474.0,4261.0,4087.0
9395106,0,728.85,39,6/9/2016,Sunday,Phone,50039,N,1,yes,6.0,3475.0,4262.0,3769.0
5610449,0,3668.47,35,9/18/2016,Thursday,Broker,20129,N,1,yes,12.0,351.0,4263.0,4088.0
8085530,0,604.3,35,11/8/2016,Thursday,Online,85021,N,1,yes,11.0,3476.0,4264.0,4089.0
8679644,1,9884.56,21,10/27/2016,Monday,Online,50002,Y,1,yes,11.0,3477.0,4265.0,4090.0
9394882,1,14564.24,41,9/11/2015,Sunday,Broker,15037,N,1,yes,7.0,3478.0,4266.0,4091.0
1122420,0,4526.05,42,1/11/2016,Monday,Broker,15045,N,1,no,1.0,3479.0,4267.0,4092.0
8478399,0,13732.68,34,12/20/2015,Sunday,Online,85030,N,1,yes,3.0,3480.0,4268.0,4093.0
8089072,0,1386.29,40,9/25/2015,Monday,Online,50013,N,1,no,9.0,3481.0,4269.0,4094.0
3860242,0,988.66,37,6/26/2015,Thursday,Phone,15037,Y,1,yes,6.0,466.0,4270.0,4095.0
7100922,0,2209.13,50,5/18/2016,Tuesday,Phone,80005,N,1,no,5.0,3482.0,4271.0,4096.0
7456349,1,2611.8,44,1/18/2015,Tuesday,Broker,20148,N,1,no,1.0,49.0,4272.0,4097.0
6436285,0,5958.52,22,6/24/2016,Monday,Online,50039,Y,1,yes,8.0,3483.0,4273.0,3718.0
6362171,0,3272.78,45,10/11/2016,Friday,Broker,50001,N,0,yes,9.0,3484.0,4274.0,4098.0
3600664,1,2007.25,37,8/4/2016,Sunday,Broker,20103,Y,0,no,2.0,3485.0,4275.0,4099.0
6411278,1,142.28,48,1/16/2016,Wednesday,Online,20128,Y,1,yes,1.0,3202.0,4276.0,4100.0
6080946,0,727.22,53,6/7/2015,Friday,Phone,85039,Y,1,yes,8.0,3486.0,4277.0,4101.0
8536106,1,1693.5,27,8/6/2015,Wednesday,Phone,50012,N,0,yes,6.0,3487.0,4278.0,4102.0
8745597,0,1803.51,46,3/4/2015,Wednesday,Broker,15020,Y,1,no,4.0,3488.0,4279.0,4103.0
3653441,0,1698.08,38,1/6/2016,Tuesday,Phone,15026,N,1,yes,9.0,3489.0,4280.0,4104.0
4405942,1,3852.51,37,1/5/2016,Thursday,Broker,50052,Y,0,yes,11.0,3490.0,4281.0,4105.0
8626714,0,7934.35,45,11/3/2015,Sunday,Broker,80001,Y,1,yes,3.0,3491.0,4282.0,4106.0
8627948,0,268.92,38,3/29/2015,Monday,Broker,80027,N,1,yes,9.0,1751.0,4283.0,4107.0
5357306,1,2685.89,25,6/8/2015,Saturday,Broker,85041,Y,0,yes,8.0,3492.0,4284.0,4108.0
4810841,1,394.34,40,4/25/2016,Monday,Phone,50042,N,1,yes,11.0,534.0,4285.0,4109.0
2002832,0,2806,55,11/18/2016,Friday,Phone,20143,N,1,yes,6.0,3493.0,4286.0,4110.0
4685372,0,860.43,46,3/5/2015,Thursday,Phone,20117,N,0,yes,6.0,36.0,4287.0,514.0
2866210,0,4526.63,38,1/7/2015,Wednesday,Phone,20131,N,1,yes,7.0,3494.0,4288.0,3514.0
6858026,0,973.28,23,5/23/2015,Tuesday,Phone,50020,Y,0,no,4.0,142.0,4289.0,4111.0
9253894,0,1623.96,17,3/15/2016,Tuesday,Phone,50012,N,1,yes,5.0,43.0,4290.0,4112.0
9394511,0,109.84,47,3/2/2016,Sunday,Broker,15052,N,0,yes,6.0,3495.0,4291.0,4113.0
6527172,1,2514.51,36,12/14/2015,Sunday,Phone,80046,Y,0,no,11.0,866.0,4292.0,4114.0
2311686,0,2628.78,49,4/23/2016,Friday,Phone,80012,Y,0,yes,3.0,3496.0,4293.0,4115.0
5212943,0,1772.82,45,1/10/2015,Wednesday,Online,50021,N,1,yes,12.0,3497.0,4294.0,4116.0
9721280,0,1690.76,47,4/19/2016,Saturday,Broker,50028,N,0,yes,7.0,3498.0,4295.0,4117.0
4595558,0,3144.06,25,2/1/2016,Thursday,Broker,20155,N,0,no,10.0,3499.0,4296.0,4118.0
1914737,1,4443.24,34,9/2/2015,Tuesday,Phone,80035,Y,1,yes,2.0,3500.0,4297.0,4119.0
6988118,1,2930.21,28,11/8/2016,Thursday,Online,80022,Y,0,yes,11.0,3501.0,4298.0,4120.0
3092401,0,1522.18,30,6/29/2016,Tuesday,Broker,15012,N,1,no,3.0,3502.0,4299.0,4121.0
7661832,0,596.41,45,7/2/2015,Friday,Online,20135,N,0,yes,5.0,3503.0,4300.0,4122.0
3129487,0,1216.89,38,3/8/2016,Saturday,Broker,50023,N,1,no,3.0,3504.0,4301.0,4123.0
2521548,0,2638.82,35,3/12/2015,Saturday,Phone,50049,N,1,no,5.0,3505.0,4302.0,4124.0
1306884,1,1200.93,32,5/4/2016,Thursday,Phone,15051,Y,0,yes,11.0,3506.0,4303.0,4125.0
1703257,0,652.84,33,11/11/2016,Friday,Phone,50025,N,0,yes,11.0,43.0,4304.0,4126.0
6396465,1,3527.84,17,3/14/2016,Tuesday,Broker,80028,N,1,yes,3.0,83.0,4305.0,4127.0
5577929,1,6117.21,29,8/6/2015,Sunday,Phone,20111,Y,1,yes,3.0,489.0,4306.0,4128.0
6799164,1,4909.54,34,8/27/2016,Monday,Phone,20142,N,1,yes,12.0,3507.0,4307.0,4129.0
6794235,0,2908.51,40,9/3/2015,Wednesday,Phone,80003,Y,0,no,7.0,43.0,4308.0,4130.0
4827737,1,5057.5,31,11/20/2016,Tuesday,Broker,80104,Y,1,yes,10.0,3508.0,4309.0,4131.0
4209402,0,644.85,41,2/16/2016,Tuesday,Broker,20151,N,1,yes,4.0,447.0,4310.0,4132.0
3051169,0,1658.77,24,5/1/2016,Wednesday,Broker,85077,N,0,no,12.0,17.0,4311.0,4133.0
3812704,1,4774.23,45,12/7/2016,Wednesday,Online,50009,Y,1,yes,12.0,36.0,4312.0,4134.0
2951123,0,1501.87,44,10/31/2016,Wednesday,Phone,20109,N,1,yes,4.0,3509.0,4313.0,4135.0
7891153,0,3532.27,36,11/17/2015,Tuesday,Phone,85006,N,1,no,1.0,36.0,4314.0,4136.0
4632635,0,3621.69,50,4/7/2015,Monday,Broker,85032,N,0,yes,3.0,3510.0,4315.0,4137.0
6445595,0,4084.45,29,9/8/2015,Friday,Broker,50054,N,0,no,6.0,3511.0,4316.0,4138.0
9071462,1,2219.59,48,6/21/2015,Friday,Phone,80031,Y,1,yes,2.0,43.0,4317.0,2619.0
8845333,0,11553.24,34,3/29/2016,Wednesday,Broker,20140,N,1,yes,4.0,3512.0,4318.0,4139.0
1963207,0,1091.91,55,10/1/2015,Tuesday,Online,85060,N,1,yes,4.0,3513.0,4319.0,4140.0
3797208,0,625.79,38,8/7/2016,Sunday,Phone,20121,N,0,yes,11.0,64.0,4320.0,4141.0
3647776,1,1542.97,35,7/16/2016,Wednesday,Broker,80022,Y,0,yes,11.0,3514.0,4321.0,4142.0
6814355,0,3348.76,39,6/14/2016,Thursday,Broker,20147,N,1,no,5.0,17.0,4322.0,4143.0
6921561,0,2206.67,23,1/25/2016,Wednesday,Broker,20101,N,0,yes,5.0,3515.0,4323.0,4144.0
8467576,1,2018.68,39,12/21/2016,Tuesday,Broker,85070,Y,1,yes,11.0,87.0,4324.0,4145.0
5613144,0,2670.2,44,4/5/2015,Wednesday,Broker,80022,Y,1,yes,1.0,3516.0,4325.0,4146.0
6073880,0,3108.36,46,12/12/2016,Thursday,Online,50031,N,0,yes,6.0,3517.0,4326.0,4147.0
3413142,0,14395.56,25,2/13/2015,Monday,Online,85006,Y,0,yes,4.0,3518.0,4327.0,4148.0
6560833,1,692.39,26,6/26/2016,Friday,Phone,15025,Y,0,no,10.0,3519.0,4328.0,4149.0
4638673,0,2556.32,50,9/22/2016,Wednesday,Broker,85063,N,1,yes,8.0,3520.0,4329.0,4150.0
8602160,1,389.68,39,6/3/2016,Wednesday,Phone,80020,N,1,yes,4.0,3521.0,4330.0,4151.0
9235231,0,6190.83,38,5/22/2016,Monday,Phone,50035,N,1,no,5.0,3522.0,4331.0,4152.0
2212446,0,6700.23,41,1/4/2015,Friday,Phone,85012,N,1,no,11.0,1378.0,4332.0,4153.0
7164560,0,2672.06,60,10/17/2015,Monday,Online,15046,N,1,yes,3.0,3523.0,4333.0,4154.0
5030145,0,4879.25,45,6/1/2016,Saturday,Online,20141,N,0,yes,9.0,3524.0,4334.0,4155.0
2694317,0,3974.63,39,3/19/2015,Sunday,Broker,80019,N,0,no,7.0,3525.0,4335.0,4156.0
1505721,0,1185.18,33,3/18/2015,Monday,Phone,20148,Y,0,yes,4.0,3526.0,4336.0,4157.0
5849343,0,751.11,40,9/29/2015,Sunday,Broker,50022,Y,1,no,3.0,43.0,4337.0,4158.0
2638949,1,12105.4,16,11/25/2015,Tuesday,Broker,20104,Y,0,no,1.0,3527.0,4338.0,4159.0
4725691,1,1180.84,34,3/3/2016,Sunday,Broker,20143,N,0,yes,6.0,82.0,4339.0,4160.0
4456974,0,3715.93,45,6/2/2015,Saturday,Online,85025,N,0,yes,12.0,1728.0,4340.0,4161.0
8262934,0,4402.25,49,4/11/2015,Wednesday,Online,20109,N,1,no,8.0,3528.0,4341.0,4162.0
7054875,0,6143.93,35,12/15/2015,Tuesday,Broker,50025,N,1,yes,10.0,3529.0,4342.0,4163.0
5474095,0,2922.78,32,8/13/2015,Monday,Phone,15035,N,1,no,1.0,3530.0,4343.0,4164.0
9548473,0,1616.54,25,2/3/2016,Friday,Broker,20147,N,1,yes,8.0,833.0,4344.0,4165.0
2210619,0,1800.64,44,8/16/2015,Tuesday,Broker,80106,N,0,no,9.0,142.0,4345.0,4166.0
7097500,0,5048.24,31,6/26/2015,Thursday,Phone,80105,N,0,yes,10.0,3531.0,4346.0,4167.0
7000378,1,9885.67,33,4/13/2016,Thursday,Phone,85004,Y,1,yes,7.0,3532.0,4347.0,4168.0
5578830,0,4377.05,30,4/2/2016,Wednesday,Broker,50044,N,0,yes,9.0,3533.0,4348.0,4169.0
7927835,0,3291.43,44,3/24/2015,Friday,Online,15052,N,1,yes,4.0,43.0,4349.0,562.0
2071182,0,2965.89,38,5/21/2015,Saturday,Online,15019,N,1,yes,2.0,3534.0,4350.0,465.0
3542488,1,680.68,34,9/17/2015,Monday,Online,80019,Y,0,yes,11.0,3535.0,4351.0,4170.0
2876680,0,2957.54,38,1/9/2016,Monday,Broker,20105,N,1,yes,6.0,1592.0,4352.0,4171.0
9934933,1,3971.06,39,8/30/2015,Thursday,Broker,85023,Y,0,yes,10.0,3536.0,4353.0,4172.0
3728402,0,6354.44,21,11/14/2015,Wednesday,Phone,85040,Y,1,yes,2.0,3537.0,4354.0,4173.0
7293491,1,1229.97,23,11/4/2015,Saturday,Broker,85067,Y,1,yes,11.0,3538.0,4355.0,4174.0
3625890,0,2369.17,39,11/21/2016,Tuesday,Broker,50020,N,1,yes,1.0,227.0,4356.0,4175.0
1021302,0,4519.04,36,6/25/2016,Thursday,Phone,50039,Y,0,no,4.0,3539.0,4357.0,4176.0
7077693,0,4106.43,38,6/11/2016,Monday,Phone,80024,N,1,no,11.0,3540.0,4358.0,4177.0
5263759,0,6476.21,20,9/28/2015,Tuesday,Broker,80016,N,0,yes,8.0,3541.0,4359.0,4178.0
6429205,0,686.71,51,12/1/2015,Monday,Phone,50031,N,1,yes,4.0,3542.0,4360.0,4179.0
4306129,0,3334.83,48,4/28/2016,Monday,Phone,80033,N,0,yes,2.0,3543.0,4361.0,4180.0
1616683,1,5173.86,31,10/18/2016,Friday,Broker,80021,Y,1,no,10.0,3544.0,4362.0,4181.0
3196847,0,5023.44,51,6/10/2016,Wednesday,Online,80016,N,0,no,11.0,3545.0,4363.0,4182.0
2535283,1,1316.99,18,10/11/2016,Friday,Phone,50008,Y,1,yes,3.0,3546.0,4364.0,4183.0
3062179,0,962.82,48,4/5/2015,Friday,Phone,15035,N,0,no,2.0,43.0,4365.0,4184.0
4859729,0,1989.8,36,8/13/2015,Monday,Broker,15056,Y,0,no,4.0,3547.0,4366.0,4185.0
7386231,0,5173.54,44,2/12/2016,Thursday,Phone,20111,N,1,yes,8.0,3548.0,4367.0,4186.0
7368862,0,805.34,28,1/6/2016,Saturday,Online,15025,N,1,yes,1.0,3549.0,4368.0,4187.0
9984015,1,3580.84,15,9/16/2016,Thursday,Phone,50054,Y,0,yes,7.0,1977.0,4369.0,4188.0
3520067,0,5686.32,36,7/10/2015,Wednesday,Broker,50009,N,1,yes,2.0,3550.0,4370.0,4189.0
1930531,0,7303.61,36,2/17/2015,Tuesday,Broker,85048,N,1,yes,1.0,3551.0,4371.0,4190.0
4195014,1,3103.12,32,1/4/2016,Thursday,Broker,85060,Y,0,yes,10.0,3552.0,4372.0,4191.0
3641318,0,1449.82,49,4/29/2015,Friday,Broker,80040,N,0,no,1.0,3553.0,4373.0,4192.0
7682713,0,1265.91,54,10/8/2016,Monday,Broker,20156,N,0,yes,4.0,3554.0,4374.0,4193.0
7295287,0,3501.82,60,6/28/2016,Friday,Broker,15033,Y,1,no,9.0,1364.0,4375.0,4194.0
9139652,1,2103.24,34,9/23/2015,Tuesday,Online,15012,Y,1,yes,6.0,3555.0,4376.0,4195.0
9591280,1,7359.09,24,1/29/2016,Saturday,Online,20115,N,1,yes,7.0,3556.0,4377.0,4196.0
8002586,0,633.45,43,1/29/2016,Monday,Phone,50008,Y,1,yes,5.0,3557.0,4378.0,4197.0
4727181,0,1960.15,21,3/17/2016,Saturday,Broker,85025,N,0,yes,7.0,3558.0,4379.0,4198.0
7944311,1,9140.26,35,1/18/2016,Monday,Broker,80040,N,0,yes,1.0,3559.0,4380.0,4199.0
3673572,0,3166.95,39,6/6/2015,Friday,Broker,85024,Y,1,yes,8.0,3560.0,4381.0,4200.0
1125832,0,812.67,45,10/11/2016,Friday,Broker,20102,Y,0,yes,9.0,3561.0,4382.0,4201.0
9210198,0,1461.65,12,7/1/2016,Sunday,Broker,20102,N,1,yes,1.0,3562.0,4383.0,4202.0
7911379,1,791.05,47,6/27/2015,Saturday,Phone,15030,Y,0,yes,8.0,3563.0,4384.0,4203.0
7016569,1,1486.76,33,8/21/2015,Sunday,Broker,50031,N,0,no,3.0,3564.0,4385.0,4204.0
8335711,0,5824.3,45,9/28/2016,Saturday,Broker,50001,Y,1,yes,1.0,3565.0,4386.0,3793.0
2025403,0,935.35,33,5/15/2015,Friday,Broker,15020,Y,1,yes,2.0,43.0,4387.0,4205.0
9231256,0,2015.83,48,4/20/2015,Thursday,Broker,80016,Y,0,yes,8.0,3566.0,4388.0,4206.0
2703920,0,1230.02,44,5/4/2015,Saturday,Phone,80002,Y,1,yes,8.0,3567.0,4389.0,4207.0
3947308,0,1591.28,41,4/15/2016,Saturday,Phone,80003,Y,1,yes,4.0,3568.0,4390.0,4208.0
1546857,0,2030.79,44,12/1/2016,Thursday,Phone,20151,Y,1,no,9.0,3569.0,4391.0,4209.0
9399918,1,4678.83,39,7/15/2015,Saturday,Broker,85018,N,1,no,11.0,87.0,4392.0,4210.0
9187823,0,638.73,31,10/23/2016,Tuesday,Phone,15028,Y,0,yes,4.0,3570.0,4393.0,2668.0
1440879,1,3589.21,41,12/4/2016,Tuesday,Broker,85083,Y,1,yes,8.0,3571.0,4394.0,4211.0
5897307,0,6406.99,32,10/24/2016,Sunday,Phone,20101,Y,1,no,1.0,37.0,4395.0,4212.0
6792770,0,5391.16,39,5/27/2016,Thursday,Phone,15021,Y,1,yes,4.0,91.0,4396.0,953.0
8986937,0,3037.58,45,12/1/2016,Friday,Broker,80106,N,1,yes,4.0,3572.0,4397.0,4213.0
6506727,0,6487.17,42,2/4/2015,Monday,Phone,50032,N,0,yes,9.0,3573.0,4398.0,4214.0
9924455,0,21504.28,41,11/29/2015,Tuesday,Broker,50057,Y,1,no,2.0,3574.0,4399.0,4215.0
1476991,0,1345.53,36,9/27/2016,Sunday,Phone,50049,N,0,yes,10.0,87.0,4400.0,4216.0
8800162,1,2889,17,10/9/2015,Saturday,Broker,85007,Y,0,yes,10.0,3575.0,4401.0,4217.0
2709674,1,8480.65,32,1/24/2016,Sunday,Online,80022,N,1,no,8.0,3576.0,4402.0,4218.0
7604570,1,7267.14,23,7/10/2016,Friday,Broker,50005,N,0,yes,5.0,3577.0,4403.0,4219.0
7945477,0,3216.52,29,6/13/2015,Wednesday,Phone,85003,Y,0,no,2.0,3578.0,4404.0,4220.0
3268268,0,16733.96,21,6/18/2016,Wednesday,Broker,15054,Y,0,yes,6.0,3579.0,4405.0,4221.0
6970463,0,703.54,47,1/30/2016,Sunday,Broker,85055,Y,0,yes,5.0,3580.0,4406.0,4222.0
4218837,0,5069.93,46,10/5/2015,Saturday,Broker,50052,Y,0,no,6.0,3581.0,4407.0,4223.0
8822755,0,1781.62,28,1/26/2016,Friday,Broker,80109,N,1,yes,6.0,3582.0,4408.0,4224.0
5370386,1,2360.67,34,4/26/2016,Friday,Broker,80040,Y,1,yes,2.0,183.0,4409.0,4225.0
5417613,0,4409.46,43,4/21/2015,Tuesday,Online,20102,N,0,yes,11.0,1364.0,4410.0,4226.0
5302963,0,755.6,62,6/25/2015,Wednesday,Phone,80042,Y,1,yes,2.0,3583.0,4411.0,4227.0
7016979,0,1704.04,33,12/31/2016,Monday,Broker,85004,N,0,yes,6.0,3584.0,4412.0,4228.0
6057777,0,4252.43,41,1/9/2015,Sunday,Online,85012,Y,1,yes,10.0,3585.0,4413.0,4229.0
7956430,0,11338.29,37,8/15/2016,Wednesday,Broker,85026,N,1,yes,8.0,3586.0,4414.0,4230.0
9438753,1,3006.65,33,6/24/2015,Thursday,Phone,80034,Y,0,yes,12.0,3587.0,4415.0,4231.0
5710549,1,4551.54,34,11/10/2016,Sunday,Phone,50021,Y,1,yes,5.0,87.0,4416.0,4232.0
8821745,0,1990.66,48,6/5/2015,Thursday,Phone,85051,N,1,yes,10.0,3588.0,4417.0,4233.0
5990332,0,928.52,38,9/15/2016,Thursday,Broker,15021,Y,0,yes,2.0,43.0,4418.0,4234.0
5979550,0,962.1,39,8/6/2015,Sunday,Broker,50005,N,1,yes,5.0,37.0,4419.0,4235.0
1158542,0,1570.16,40,3/7/2015,Friday,Broker,15010,N,0,no,7.0,3589.0,4420.0,4236.0
1521507,0,3489.53,59,3/31/2016,Saturday,Broker,20105,N,0,yes,9.0,3590.0,4421.0,1354.0
5393722,0,2797.74,38,5/4/2016,Tuesday,Broker,85027,Y,0,no,12.0,3591.0,4422.0,4237.0
8309507,0,5962.55,33,10/8/2015,Thursday,Broker,80001,N,1,yes,7.0,3592.0,4423.0,4238.0
6719030,0,263.59,48,10/17/2015,Saturday,Broker,85005,N,0,yes,8.0,3593.0,4424.0,4239.0
7246389,0,4179.91,36,6/21/2016,Friday,Online,80022,Y,1,no,6.0,3594.0,4425.0,2847.0
2797786,0,4570.74,37,10/27/2016,Wednesday,Broker,50012,N,0,yes,9.0,3595.0,4426.0,4240.0
3721627,0,796.57,36,11/10/2016,Wednesday,Broker,50048,Y,0,yes,9.0,466.0,4427.0,4241.0
6933580,0,8608.83,50,11/12/2016,Friday,Broker,50002,Y,1,yes,8.0,3596.0,4428.0,4242.0
7977996,0,1497.86,63,12/3/2016,Friday,Phone,50022,N,1,yes,1.0,3597.0,4429.0,4243.0
4600436,1,1869.27,41,2/14/2015,Monday,Broker,50013,Y,0,no,11.0,3598.0,4430.0,4244.0
2975952,0,3567.24,49,1/31/2016,Saturday,Broker,80040,N,0,yes,12.0,698.0,4431.0,4245.0
7350594,0,1700.92,49,10/16/2015,Monday,Broker,80025,N,0,yes,7.0,87.0,4432.0,4246.0
5464513,0,18283.76,52,7/13/2016,Wednesday,Online,50051,N,1,yes,5.0,3599.0,4433.0,4247.0
2675718,0,578.68,25,8/20/2016,Saturday,Broker,80106,N,1,yes,7.0,3600.0,4434.0,4248.0
6310896,0,586.2,28,10/28/2015,Monday,Broker,80016,N,1,yes,4.0,3601.0,4435.0,4249.0
1512915,0,1362.34,48,7/6/2016,Tuesday,Phone,50047,Y,0,yes,2.0,3602.0,4436.0,4250.0
4633035,0,3470.83,33,11/25/2015,Wednesday,Broker,80003,N,0,yes,5.0,3603.0,4437.0,4251.0
9042919,0,1140.38,37,8/27/2016,Wednesday,Phone,20107,N,0,no,1.0,44.0,4438.0,4252.0
8301241,0,438.13,38,12/15/2016,Saturday,Phone,20160,Y,0,yes,9.0,3604.0,4439.0,4253.0
5434385,0,2185.91,42,9/12/2015,Thursday,Broker,50001,N,1,yes,6.0,3605.0,4440.0,4254.0
6429868,0,6681.91,57,2/23/2015,Friday,Broker,80044,N,1,yes,2.0,2163.0,4441.0,4255.0
6347657,0,1797.91,37,1/23/2015,Thursday,Broker,15001,N,1,yes,11.0,3606.0,4442.0,4256.0
1640072,0,575.76,37,10/30/2016,Thursday,Broker,80030,Y,0,yes,2.0,3607.0,4443.0,4257.0
4567016,0,10272.33,39,1/25/2015,Friday,Phone,50006,N,1,yes,9.0,2054.0,4444.0,4258.0
4195074,1,874.89,27,3/20/2016,Thursday,Phone,85045,Y,1,yes,3.0,43.0,4445.0,4259.0
8807177,0,1351.05,35,2/21/2015,Saturday,Broker,85006,N,1,yes,4.0,3608.0,4446.0,4260.0
2533392,0,1664.08,65,11/4/2015,Sunday,Broker,20101,N,1,no,2.0,3609.0,4447.0,4261.0
8378967,1,3376.45,33,2/12/2016,Friday,Online,20113,Y,1,yes,10.0,3610.0,4448.0,4262.0
6116085,0,811.22,41,2/7/2015,Tuesday,Phone,85054,N,1,no,7.0,716.0,4449.0,4263.0
1091909,0,8497.37,63,4/27/2015,Saturday,Phone,85067,N,0,no,7.0,3611.0,4450.0,2125.0
