year_of_born,gender,age_of_DL,safety_rating,driver_key
1973,M,25,62,2913
1971,M,22,92,2914
1977,F,22,88,2915
1978,M,23,80,2916
1987,M,18,55,2917
1976,F,20,74,2918
1997,F,27,64,2919
1977,F,16,71,2920
1971,F,24,85,2921
1993,M,21,52,2922
1986,M,20,61,2923
1979,M,19,96,2924
1976,F,28,61,2925
1971,M,20,58,2926
1989,F,20,41,2927
1988,F,25,71,2928
1975,M,23,93,2929
1981,M,17,75,2930
1999,F,22,66,2931
1990,F,19,81,2932
1979,M,23,75,2933
1982,M,30,74,2934
1984,F,19,83,2935
1982,F,25,50,2936
1973,M,21,87,2937
1996,M,24,82,2938
1977,F,31,100,2939
1976,F,20,71,2940
1993,M,16,72,2941
1971,F,22,66,2942
1981,F,21,63,2943
1970,F,28,97,2944
1949,M,18,100,2945
1964,M,16,67,2946
1987,F,20,96,2947
1978,F,21,74,2948
2000,M,16,41,2949
1953,F,26,92,2950
1990,M,21,88,2951
1982,F,27,65,2952
1987,F,21,69,2953
2003,F,23,99,2954
1981,F,21,78,2955
1971,F,21,57,2956
1994,M,16,57,2957
1993,F,20,56,2958
1959,M,23,83,2959
1982,M,23,71,2960
1996,M,21,54,2961
1997,M,17,64,2962
1991,M,24,100,2963
1994,F,20,76,2964
1989,M,20,46,2965
1978,F,21,56,2966
1977,F,22,58,2967
1982,F,24,77,2968
1996,M,25,69,2969
1976,F,20,83,2970
2001,M,19,100,2971
1996,M,18,73,2972
1983,F,16,87,2973
1992,F,27,82,2974
1966,F,18,72,2975
1973,F,27,86,2976
1966,M,19,89,2977
1985,M,24,70,2978
1987,M,16,90,2979
1969,F,22,99,2980
1961,M,26,86,2981
1977,F,29,70,2982
1980,F,19,51,2983
1985,M,23,90,2984
1985,F,21,54,2985
1968,F,27,97,2986
1975,M,28,71,2987
1979,M,21,53,2988
1986,F,26,79,2989
1984,F,21,67,2990
1986,M,20,75,2991
1972,F,22,74,2992
1998,M,23,75,2993
1962,F,24,74,2994
1987,M,31,63,2995
1977,M,22,100,2996
1994,M,22,87,2997
1978,M,27,74,2998
1977,F,20,70,2999
1999,M,25,80,3000
1994,M,21,91,3001
1999,F,19,81,3002
1992,F,16,75,3003
1999,M,27,64,3004
1973,M,22,76,3005
1983,F,21,74,3006
1990,F,25,71,3007
1965,M,21,55,3008
2000,F,21,80,3009
1985,M,17,77,3010
1966,F,28,74,3011
1953,F,18,98,3012
1985,M,17,97,3013
1982,F,21,100,3014
1984,F,19,90,3015
1980,M,19,55,3016
1980,M,23,89,3017
1988,M,21,79,3018
1994,M,16,100,3019
1963,M,25,77,3020
1989,M,22,92,3021
1968,M,24,84,3022
1965,F,23,61,3023
1975,F,23,77,3024
1991,F,22,56,3025
1978,M,28,81,3026
1965,M,28,67,3027
1964,M,21,100,3028
1983,M,24,87,3029
1982,M,22,77,3030
2000,M,17,84,3031
1970,F,25,70,3032
1996,F,22,68,3033
1954,F,16,84,3034
1958,M,26,57,3035
1979,F,21,86,3036
1974,F,19,80,3037
1991,F,26,86,3038
1975,F,25,71,3039
1992,F,26,51,3040
1989,F,26,50,3041
1968,M,18,60,3042
1996,F,26,78,3043
1968,F,27,42,3044
1977,M,27,69,3045
1993,M,22,72,3046
1979,F,18,77,3047
1952,M,24,87,3048
1980,F,22,86,3049
1999,M,20,62,3050
1971,M,21,37,3051
1990,M,21,100,3052
1965,F,18,88,3053
1976,M,19,60,3054
1993,F,24,66,3055
1984,F,18,57,3056
1970,M,28,82,3057
1981,F,17,99,3058
1956,M,22,87,3059
1956,F,20,84,3060
1954,M,20,72,3061
1956,F,21,80,3062
1984,F,25,74,3063
1969,M,23,56,3064
2004,M,19,52,3065
1983,F,23,84,3066
1970,M,22,80,3067
1966,M,28,81,3068
1979,M,18,75,3069
1981,F,23,73,3070
1990,F,22,100,3071
1968,M,25,82,3072
1970,F,16,99,3073
1977,F,17,78,3074
1990,F,22,74,3075
1995,M,24,62,3076
1982,F,23,76,3077
1969,F,26,79,3078
1993,F,20,62,3079
1981,M,17,83,3080
1978,M,23,85,3081
1992,M,23,57,3082
1992,M,19,72,3083
1983,F,19,56,3084
1977,F,22,64,3085
1971,M,20,99,3086
1989,M,24,73,3087
1982,F,21,76,3088
1991,F,16,64,3089
1980,F,20,68,3090
1982,M,20,74,3091
1986,M,23,53,3092
2001,M,16,67,3093
2000,M,16,80,3094
2000,F,25,58,3095
1949,F,26,72,3096
1997,F,20,63,3097
1975,F,21,69,3098
1977,M,23,99,3099
1997,M,27,82,3100
1962,F,25,64,3101
1982,M,18,72,3102
1953,M,24,100,3103
1985,F,26,37,3104
1978,M,24,58,3105
1960,F,21,65,3106
1966,F,20,74,3107
1985,M,16,76,3108
1968,M,21,71,3109
1976,M,23,29,3110
1986,M,21,69,3111
1983,M,31,66,3112
1981,F,26,69,3113
1988,F,19,71,3114
1975,F,20,62,3115
1993,M,23,74,3116
1967,M,26,72,3117
1983,M,22,74,3118
1989,M,20,80,3119
1988,M,21,81,3120
1975,F,17,100,3121
1989,F,25,75,3122
1984,M,28,63,3123
1944,M,20,48,3124
1968,F,25,73,3125
1992,M,23,69,3126
1992,F,22,95,3127
1995,F,25,72,3128
1970,F,20,70,3129
1964,F,16,66,3130
1982,F,28,55,3131
1978,F,25,90,3132
1973,M,21,70,3133
1974,M,19,75,3134
1972,F,21,82,3135
1970,M,19,91,3136
1971,M,21,69,3137
1979,M,23,80,3138
1964,M,17,61,3139
1979,F,21,80,3140
1979,F,27,51,3141
1986,M,22,70,3142
1980,M,23,71,3143
1999,F,21,74,3144
1985,F,23,100,3145
1973,M,26,81,3146
1962,M,26,68,3147
1983,M,27,64,3148
1982,F,26,49,3149
1989,M,22,47,3150
1993,M,20,85,3151
1983,M,23,88,3152
1983,F,16,77,3153
1976,F,23,89,3154
1981,F,21,83,3155
1980,M,20,63,3156
1993,M,18,71,3157
1977,F,23,80,3158
1972,F,19,100,3159
1990,M,28,62,3160
1988,M,22,75,3161
1969,M,16,81,3162
1979,M,20,67,3163
1978,M,17,60,3164
1993,M,18,78,3165
1963,F,20,55,3166
1985,F,24,54,3167
2002,F,20,68,3168
1995,M,23,97,3169
1970,F,19,86,3170
1978,M,22,92,3171
1982,F,33,92,3172
1991,M,24,86,3173
1974,M,22,78,3174
1976,M,17,89,3175
2004,F,20,93,3176
1971,F,27,100,3177
1988,M,21,42,3178
1965,F,24,70,3179
1986,F,24,62,3180
1985,F,20,78,3181
1975,M,20,85,3182
1993,F,18,67,3183
1978,M,24,24,3184
1983,F,19,96,3185
1975,F,17,65,3186
1974,F,25,84,3187
1982,M,23,59,3188
1987,M,19,30,3189
1989,F,31,73,3190
1986,M,29,83,3191
2001,F,20,76,3192
1989,F,26,30,3193
1976,M,28,80,3194
1996,F,19,95,3195
2000,M,22,81,3196
1984,M,27,85,3197
1963,M,30,74,3198
1995,M,16,56,3199
1973,M,20,86,3200
1965,M,16,77,3201
1980,M,26,88,3202
1996,F,21,61,3203
1986,F,22,100,3204
1980,F,23,77,3205
2001,M,24,60,3206
1967,F,22,62,3207
1974,F,21,70,3208
1984,M,20,61,3209
1977,F,26,67,3210
1974,F,20,81,3211
1980,F,21,59,3212
1963,M,30,78,3213
1993,M,21,79,3214
1973,F,18,92,3215
1961,F,24,60,3216
1985,F,28,56,3217
1962,M,23,79,3218
1998,F,22,79,3219
1969,M,19,66,3220
1984,F,16,64,3221
1982,M,16,78,3222
1984,F,23,68,3223
1977,M,21,85,3224
1983,M,22,81,3225
1972,F,21,100,3226
1982,F,21,84,3227
1980,M,26,80,3228
1936,M,27,65,3229
1982,M,17,70,3230
1982,M,19,71,3231
2000,F,22,74,3232
1995,F,23,81,3233
1972,M,25,81,3234
1991,M,22,81,3235
2002,F,22,60,3236
1981,F,17,54,3237
1997,M,21,75,3238
1985,F,21,77,3239
1959,M,24,66,3240
1961,F,25,71,3241
1993,M,20,67,3242
1990,M,18,93,3243
1970,F,21,75,3244
1977,F,21,45,3245
1990,M,20,83,3246
1991,F,16,94,3247
1954,M,29,87,3248
1967,F,22,80,3249
1987,M,20,96,3250
1984,M,22,88,3251
1989,M,17,71,3252
1956,F,19,78,3253
1990,F,23,77,3254
1985,F,16,50,3255
1977,M,21,73,3256
1997,F,21,53,3257
2001,F,20,64,3258
1989,F,21,87,3259
1958,F,29,86,3260
1990,M,22,67,3261
1969,M,20,100,3262
1996,F,18,68,3263
1971,F,26,93,3264
1990,F,24,76,3265
1960,F,16,81,3266
1977,F,25,83,3267
1973,F,20,86,3268
1975,M,26,90,3269
1981,M,25,82,3270
1980,M,23,82,3271
1981,M,25,76,3272
1984,M,21,62,3273
1963,F,19,81,3274
1964,M,21,99,3275
1980,M,30,62,3276
1976,F,21,79,3277
1986,F,21,58,3278
1987,F,23,66,3279
1996,F,21,70,3280
1974,F,31,78,3281
1978,M,30,46,3282
1991,M,25,52,3283
2001,M,25,78,3284
1980,F,22,63,3285
1997,M,26,89,3286
2001,M,27,100,3287
2004,F,28,77,3288
1967,F,21,58,3289
1984,M,23,65,3290
1969,M,26,81,3291
1991,F,19,87,3292
1986,M,19,56,3293
1961,M,21,56,3294
1974,M,20,72,3295
1995,F,22,63,3296
1974,F,24,41,3297
1992,M,24,64,3298
1970,F,19,54,3299
1981,F,19,88,3300
1964,M,25,78,3301
1997,F,22,94,3302
1986,F,16,98,3303
1975,F,24,80,3304
1984,M,24,70,3305
1973,M,24,79,3306
1981,M,22,77,3307
1985,M,25,81,3308
1976,M,26,80,3309
1954,M,27,71,3310
2001,M,19,95,3311
1968,M,27,99,3312
1980,F,18,78,3313
1988,F,19,48,3314
1991,F,18,63,3315
1980,M,22,74,3316
1990,M,22,59,3317
1985,F,21,58,3318
1995,F,28,94,3319
1982,F,17,87,3320
1982,M,25,86,3321
1995,M,28,94,3322
2001,M,23,86,3323
1983,M,20,57,3324
2000,F,21,83,3325
1985,F,17,62,3326
1977,M,21,91,3327
1968,F,22,83,3328
1991,M,23,75,3329
1981,F,22,100,3330
1960,F,18,96,3331
1998,F,23,90,3332
1968,M,27,90,3333
1999,M,21,58,3334
1946,F,20,33,3335
1974,M,21,88,3336
1982,F,25,89,3337
1997,F,20,100,3338
1972,M,28,88,3339
1994,F,22,74,3340
2000,F,28,69,3341
1978,M,22,56,3342
1986,F,19,71,3343
1989,M,16,45,3344
1990,F,25,65,3345
1982,M,24,90,3346
1988,M,22,64,3347
1997,M,20,49,3348
1993,F,23,50,3349
1955,M,24,84,3350
1999,F,25,56,3351
1986,F,19,62,3352
1979,M,16,66,3353
1992,F,24,74,3354
1962,M,20,73,3355
1984,F,21,100,3356
1978,F,16,93,3357
1987,F,17,55,3358
1978,F,23,79,3359
2001,M,26,80,3360
1993,F,22,63,3361
1988,M,26,78,3362
1981,M,22,45,3363
1986,F,23,100,3364
1934,M,21,69,3365
1982,F,19,83,3366
1968,M,29,89,3367
1991,F,25,57,3368
1997,M,24,91,3369
1980,M,19,87,3370
1985,M,19,66,3371
1975,M,20,37,3372
1985,M,25,100,3373
1983,F,23,81,3374
1974,M,23,56,3375
1973,M,21,84,3376
1985,F,24,76,3377
1967,M,25,71,3378
1978,M,24,72,3379
1981,M,27,74,3380
1971,F,23,82,3381
1967,F,25,76,3382
1992,F,23,73,3383
1970,F,16,82,3384
2001,F,27,88,3385
1982,M,24,81,3386
1996,M,23,68,3387
1997,M,25,82,3388
1992,M,28,92,3389
1970,M,29,91,3390
1994,M,22,45,3391
1992,M,29,37,3392
1980,M,18,70,3393
1983,M,26,68,3394
1974,M,16,68,3395
1981,F,22,62,3396
1989,M,26,83,3397
1973,F,20,73,3398
1961,M,21,72,3399
1972,M,26,57,3400
1983,F,24,86,3401
1986,M,23,96,3402
1988,F,25,98,3403
1978,M,17,73,3404
1979,F,23,85,3405
1990,F,23,94,3406
1990,F,19,87,3407
1975,F,16,72,3408
1978,M,21,65,3409
1995,F,19,91,3410
2004,M,24,91,3411
1966,F,21,66,3412
1999,M,21,66,3413
1986,F,19,53,3414
1974,M,20,56,3415
1954,F,23,83,3416
1974,M,21,62,3417
1984,M,25,65,3418
1986,F,20,57,3419
1976,M,25,77,3420
1955,F,26,70,3421
1991,M,25,63,3422
1986,M,21,48,3423
1974,F,27,41,3424
1998,F,21,62,3425
1992,M,24,60,3426
1981,M,23,51,3427
1975,M,23,66,3428
1842,F,23,77,3429
1962,F,29,75,3430
1981,M,25,96,3431
1967,F,22,100,3432
1980,M,27,78,3433
1990,M,27,62,3434
1980,M,21,90,3435
1972,F,26,69,3436
1995,F,22,75,3437
1979,F,17,81,3438
1980,M,20,80,3439
1974,F,25,70,3440
1977,F,19,70,3441
1997,F,25,72,3442
1989,F,22,56,3443
1982,F,17,82,3444
1955,F,28,79,3445
1982,F,23,80,3446
1985,M,25,91,3447
1963,F,30,85,3448
1937,F,20,81,3449
1971,M,27,97,3450
1985,F,20,50,3451
1971,F,20,61,3452
1999,F,23,78,3453
1984,M,20,97,3454
1994,M,19,72,3455
1976,F,22,56,3456
1976,M,23,65,3457
1981,M,27,89,3458
1988,M,23,47,3459
1956,M,24,92,3460
1997,M,16,57,3461
1975,M,19,71,3462
1977,F,18,59,3463
1969,F,23,80,3464
1996,F,29,80,3465
1975,M,22,63,3466
1991,M,21,96,3467
1980,M,18,100,3468
1974,F,24,99,3469
1989,M,27,60,3470
1971,F,26,77,3471
1981,F,18,73,3472
1960,F,22,74,3473
1970,F,28,96,3474
1972,F,29,97,3475
1980,F,19,60,3476
1989,F,26,66,3477
1984,F,23,92,3478
1992,F,19,76,3479
1996,F,19,86,3480
1982,M,16,82,3481
1998,M,25,81,3482
2003,F,24,72,3483
1980,F,31,74,3484
1980,M,24,89,3485
1989,M,19,87,3486
1972,F,23,87,3487
1981,F,19,66,3488
1993,F,26,92,3489
1988,F,23,60,3490
1980,F,22,91,3491
1968,M,21,78,3492
1979,M,24,74,3493
1976,F,17,84,3494
1983,M,22,69,3495
1979,F,16,54,3496
1946,F,22,83,3497
1978,M,20,76,3498
1973,F,24,68,3499
1971,F,19,62,3500
1988,M,21,67,3501
1974,M,27,60,3502
1984,M,21,74,3503
1972,F,23,69,3504
1990,F,25,68,3505
1978,M,17,82,3506
1980,F,16,70,3507
1955,M,16,81,3508
1979,F,27,67,3509
1966,M,24,81,3510
1997,M,18,75,3511
1964,M,24,65,3512
1996,M,17,82,3513
1974,M,24,91,3514
1987,F,21,94,3515
1958,F,18,81,3516
1993,M,19,57,3517
1990,F,30,81,3518
1998,M,22,99,3519
1995,M,20,82,3520
1981,M,21,80,3521
1974,F,23,96,3522
1998,M,26,70,3523
1970,F,20,73,3524
1971,M,21,95,3525
1968,M,18,62,3526
1993,M,19,93,3527
1972,F,18,92,3528
1967,F,18,63,3529
1982,F,20,92,3530
1984,M,21,86,3531
1968,F,21,61,3532
1991,M,25,84,3533
1971,F,20,65,3534
1981,M,27,76,3535
1994,M,22,46,3536
1983,F,16,70,3537
1986,M,23,89,3538
1984,F,26,55,3539
1986,F,25,77,3540
1983,M,28,44,3541
1964,F,18,53,3542
1981,M,24,88,3543
1989,F,19,87,3544
1978,F,25,81,3545
1990,M,23,78,3546
1974,F,23,84,3547
2000,F,23,92,3548
1983,M,25,82,3549
1975,F,22,68,3550
1995,M,24,52,3551
1981,M,22,74,3552
1980,F,24,64,3553
1996,M,24,84,3554
1981,F,25,88,3555
1972,M,25,66,3556
1992,F,19,81,3557
1973,M,20,95,3558
1978,F,19,67,3559
1992,M,16,100,3560
2001,F,21,58,3561
1981,F,16,95,3562
1982,M,31,44,3563
1983,M,26,64,3564
2006,M,23,86,3565
1961,F,23,92,3566
1970,F,26,69,3567
1964,F,16,53,3568
1996,F,26,88,3569
1992,M,23,54,3570
1960,M,22,90,3571
1985,F,16,100,3572
1986,F,22,98,3573
1991,F,19,96,3574
1997,M,17,96,3575
1999,M,21,55,3576
1997,F,16,52,3577
1993,F,26,67,3578
1975,M,28,73,3579
1990,M,26,74,3580
1990,F,24,60,3581
1974,M,24,76,3582
1980,M,26,100,3583
1979,M,26,69,3584
2005,M,18,78,3585
1988,M,27,87,3586
1973,M,16,51,3587
1989,M,19,81,3588
1967,F,17,83,3589
1987,M,17,90,3590
1982,M,21,80,3591
1996,M,25,75,3592
1987,F,19,77,3593
1975,F,29,88,3594
1998,M,22,58,3595
1976,F,23,87,3596
1968,M,21,68,3597
1972,M,23,83,3598
1996,F,30,100,3599
1995,F,16,36,3600
1978,M,16,72,3601
1980,M,18,60,3602
1980,F,17,82,3603
1986,F,25,100,3604
2000,M,19,67,3605
1978,M,22,62,3606
1958,F,25,61,3607
1980,M,29,87,3608
1982,M,17,62,3609
2002,M,21,80,3610
1979,F,16,59,3611
1982,F,26,69,3612
1998,M,21,80,3613
1990,M,20,71,3614
1970,M,25,88,3615
2001,F,22,95,3616
1977,F,18,69,3617
1980,F,24,73,3618
1991,M,16,70,3619
1987,F,18,53,3620
1985,F,19,71,3621
1973,M,21,96,3622
1978,F,18,56,3623
1983,F,23,74,3624
1961,F,16,63,3625
1981,F,28,63,3626
1989,F,27,44,3627
1969,M,25,90,3628
1966,F,19,66,3629
1968,F,24,100,3630
1971,F,17,68,3631
2002,M,18,77,3632
1975,M,25,77,3633
2003,M,21,71,3634
1982,M,23,61,3635
1986,F,25,63,3636
1978,F,24,71,3637
1992,M,21,71,3638
1974,M,27,44,3639
1988,M,21,56,3640
1996,M,29,74,3641
1969,F,22,71,3642
1970,M,24,83,3643
1996,M,19,80,3644
1976,M,22,64,3645
2001,M,20,68,3646
1968,F,19,100,3647
1980,M,21,85,3648
1988,F,16,99,3649
1973,M,23,73,3650
1988,M,20,80,3651
1983,M,26,100,3652
1959,M,32,81,3653
1992,F,24,94,3654
1989,M,19,66,3655
1986,M,18,65,3656
1982,M,27,88,3657
1993,M,27,79,3658
1966,M,23,88,3659
1987,F,22,92,3660
1986,M,26,71,3661
1978,F,20,86,3662
1983,M,20,76,3663
1986,F,20,49,3664
1985,M,31,59,3665
1953,F,24,80,3666
1977,M,16,67,3667
1975,M,25,83,3668
1994,F,18,91,3669
1983,F,28,63,3670
1953,F,25,86,3671
1991,F,25,80,3672
1984,M,25,55,3673
1974,M,22,70,3674
1982,M,18,86,3675
1988,M,19,56,3676
1995,F,23,100,3677
1994,F,19,81,3678
1985,F,27,88,3679
1982,M,24,70,3680
1974,M,21,94,3681
1977,F,23,63,3682
1973,F,23,64,3683
2001,M,28,82,3684
1977,M,22,52,3685
1949,F,23,100,3686
1992,F,21,79,3687
1980,F,20,94,3688
1967,F,23,88,3689
1966,F,22,92,3690
1980,F,22,94,3691
1979,F,19,63,3692
1992,F,24,95,3693
1986,F,27,75,3694
1991,F,19,94,3695
1979,F,18,65,3696
1983,F,26,73,3697
1983,M,23,77,3698
1981,M,21,69,3699
1974,M,25,100,3700
1985,M,25,94,3701
1977,M,23,86,3702
1970,F,21,69,3703
2001,M,21,70,3704
1981,M,22,46,3705
1987,M,22,78,3706
1951,M,24,78,3707
1979,F,24,93,3708
1993,M,17,63,3709
1982,M,21,76,3710
1977,M,25,71,3711
1985,F,24,78,3712
1985,F,16,59,3713
1984,F,19,71,3714
1976,F,16,74,3715
1967,M,26,100,3716
1999,M,32,76,3717
1991,F,22,78,3718
1959,M,19,89,3719
1989,F,23,64,3720
1983,F,30,100,3721
1970,F,23,91,3722
1977,F,22,52,3723
1970,M,19,87,3724
1978,F,22,95,3725
1967,F,21,87,3726
1987,F,16,62,3727
1964,F,22,83,3728
1974,F,19,86,3729
1986,F,28,64,3730
1993,F,26,99,3731
2000,M,18,70,3732
1986,M,23,74,3733
1962,M,24,76,3734
1970,M,18,71,3735
1960,M,18,61,3736
1995,M,20,83,3737
1988,M,22,88,3738
1986,M,24,100,3739
1978,M,25,60,3740
1979,M,26,45,3741
1973,F,26,91,3742
1993,F,26,96,3743
1975,M,20,100,3744
1994,M,26,91,3745
1961,M,21,91,3746
1974,F,23,81,3747
1972,M,23,99,3748
1982,F,24,87,3749
1984,M,24,74,3750
1988,M,22,92,3751
1978,M,16,69,3752
1985,F,19,65,3753
1983,F,20,68,3754
1977,F,21,68,3755
1982,F,25,69,3756
1974,M,24,58,3757
1993,M,22,94,3758
1974,F,23,85,3759
1980,F,20,96,3760
1991,F,23,67,3761
1948,M,16,57,3762
1986,F,17,82,3763
1981,M,19,94,3764
1982,M,22,84,3765
1970,F,25,73,3766
1972,M,21,83,3767
1967,M,21,77,3768
1970,F,19,67,3769
1992,F,21,92,3770
1997,F,21,74,3771
1985,M,21,98,3772
1988,M,21,77,3773
1993,F,23,59,3774
1969,F,18,85,3775
1983,F,21,100,3776
1972,F,28,68,3777
1978,M,26,65,3778
1982,F,20,84,3779
1968,M,20,65,3780
1989,M,19,75,3781
1976,F,20,58,3782
1977,F,27,64,3783
1997,F,22,82,3784
2001,M,27,72,3785
1938,F,20,71,3786
1984,F,22,70,3787
1954,M,25,92,3788
1973,F,18,89,3789
1976,M,17,69,3790
1975,M,26,66,3791
1962,M,21,45,3792
1975,F,21,86,3793
2001,F,18,80,3794
1970,F,18,78,3795
1980,M,16,83,3796
1971,F,27,74,3797
1986,F,21,85,3798
1987,F,20,32,3799
1990,M,24,79,3800
1989,M,32,70,3801
1976,M,23,90,3802
1928,M,19,93,3803
1958,F,20,78,3804
1970,M,25,90,3805
1982,M,22,88,3806
1984,F,21,92,3807
1998,F,25,93,3808
1954,M,20,60,3809
1996,F,20,80,3810
1985,M,22,63,3811
1950,F,28,74,3812
1986,F,18,51,3813
1982,F,18,77,3814
1987,M,25,57,3815
1981,M,24,94,3816
1985,F,28,65,3817
1972,F,20,87,3818
1971,M,22,86,3819
1991,M,26,88,3820
1970,F,16,64,3821
1981,F,19,41,3822
1967,M,24,83,3823
1980,F,25,100,3824
1965,M,18,75,3825
1969,M,19,67,3826
1972,F,24,95,3827
2003,M,19,58,3828
2003,M,25,83,3829
1945,M,28,66,3830
1996,F,24,45,3831
1990,F,21,65,3832
1993,F,21,64,3833
1985,M,24,83,3834
1957,F,16,68,3835
1957,M,23,88,3836
1985,F,23,65,3837
1989,F,23,70,3838
1979,M,18,77,3839
1987,M,22,57,3840
1987,F,23,75,3841
1984,M,18,52,3842
1982,M,24,69,3843
1986,F,20,75,3844
1977,M,21,53,3845
1978,F,18,67,3846
1981,F,20,100,3847
1975,F,21,66,3848
1995,F,23,75,3849
1989,F,22,84,3850
1993,F,19,70,3851
1992,F,17,100,3852
1964,M,27,77,3853
1993,M,21,87,3854
1967,F,23,59,3855
1990,M,26,53,3856
1975,F,18,100,3857
1958,M,21,73,3858
1977,M,18,67,3859
1983,M,23,69,3860
1978,F,21,99,3861
1966,M,26,100,3862
1976,M,19,64,3863
1991,F,23,91,3864
1994,F,26,85,3865
1994,F,25,71,3866
1980,M,18,97,3867
1974,M,19,96,3868
2003,M,21,56,3869
1997,M,16,65,3870
1998,F,25,84,3871
1968,M,24,78,3872
1996,M,22,73,3873
1971,M,23,60,3874
1963,M,23,46,3875
1994,M,21,72,3876
1972,F,27,43,3877
1981,F,23,91,3878
1975,F,27,89,3879
1980,F,22,87,3880
1985,F,19,74,3881
1971,F,26,94,3882
1971,F,20,70,3883
1987,F,25,84,3884
1996,M,29,65,3885
1995,F,20,81,3886
1970,M,24,84,3887
1979,M,23,70,3888
1985,M,25,83,3889
1977,F,24,48,3890
1995,F,25,64,3891
2001,F,23,78,3892
1976,F,22,72,3893
1999,F,19,69,3894
1972,M,24,34,3895
1989,F,27,75,3896
1993,M,24,79,3897
1998,M,23,83,3898
1974,M,17,82,3899
1981,F,21,73,3900
1982,F,24,54,3901
1979,M,22,98,3902
1978,M,28,67,3903
1969,M,25,68,3904
2000,F,19,65,3905
1987,M,17,73,3906
1958,M,26,69,3907
1997,M,25,65,3908
1979,M,27,96,3909
1995,M,19,71,3910
1987,M,26,75,3911
1976,F,25,77,3912
1995,F,20,60,3913
1960,F,28,98,3914
1990,M,19,74,3915
1980,F,23,89,3916
1971,F,18,46,3917
1959,F,20,75,3918
1987,M,20,53,3919
1992,F,24,97,3920
1982,M,25,84,3921
1981,M,25,91,3922
1983,F,18,78,3923
1970,M,29,84,3924
1986,F,22,58,3925
1970,M,16,62,3926
1997,F,16,98,3927
1990,M,16,69,3928
1964,F,16,60,3929
1984,F,17,82,3930
1970,M,20,79,3931
1964,F,18,74,3932
1991,F,25,33,3933
1979,M,22,57,3934
1995,M,16,84,3935
1982,M,18,61,3936
1956,F,17,67,3937
1994,F,24,73,3938
1970,M,23,58,3939
1971,M,28,59,3940
1992,F,21,89,3941
1990,M,20,61,3942
1992,F,20,77,3943
1989,F,27,58,3944
1964,M,25,73,3945
1979,F,19,95,3946
1965,F,24,49,3947
1960,F,20,81,3948
1970,M,20,54,3949
1993,M,23,89,3950
1974,F,18,73,3951
1978,F,20,69,3952
1989,M,26,73,3953
1996,F,25,83,3954
1964,M,20,57,3955
2000,F,29,92,3956
1962,M,19,78,3957
1974,F,22,52,3958
1988,F,16,100,3959
1994,F,23,76,3960
1976,F,20,89,3961
1968,M,29,95,3962
1990,F,28,66,3963
1995,F,28,84,3964
1985,F,16,64,3965
1956,F,25,78,3966
1976,F,26,93,3967
1976,M,21,50,3968
1987,M,26,82,3969
1992,F,18,100,3970
1996,M,21,85,3971
1979,F,28,79,3972
1995,F,21,86,3973
1958,M,19,64,3974
1976,F,21,65,3975
1987,F,24,92,3976
1989,M,17,44,3977
1958,M,18,84,3978
1977,F,26,48,3979
1995,F,30,78,3980
1973,M,23,70,3981
1985,M,22,93,3982
1971,M,19,84,3983
1988,F,18,97,3984
1965,F,18,72,3985
1971,F,26,82,3986
1991,M,17,78,3987
1992,M,21,86,3988
1960,F,24,73,3989
1970,F,23,63,3990
1982,F,22,75,3991
1992,M,26,99,3992
1995,M,26,43,3993
1986,M,22,77,3994
1996,F,23,74,3995
1992,F,16,77,3996
1978,M,19,74,3997
1994,F,23,85,3998
1993,M,26,76,3999
1988,M,20,62,4000
1979,F,25,87,4001
1990,F,24,71,4002
1993,F,26,63,4003
1988,M,27,85,4004
1994,F,24,75,4005
1972,M,22,82,4006
1968,M,18,86,4007
1985,F,31,72,4008
1983,M,25,71,4009
1957,M,23,96,4010
1965,F,25,50,4011
1968,M,25,100,4012
1967,F,23,76,4013
1999,F,29,84,4014
1997,M,22,70,4015
1990,M,19,44,4016
1969,M,22,100,4017
1985,M,22,50,4018
1988,M,23,58,4019
1964,F,17,69,4020
1977,F,23,57,4021
1980,F,22,42,4022
1994,M,17,100,4023
1998,F,18,65,4024
1976,F,24,57,4025
1969,F,17,73,4026
1976,F,25,83,4027
1972,M,24,97,4028
1979,F,23,100,4029
1979,M,27,74,4030
1981,F,19,79,4031
1972,F,18,68,4032
1984,F,21,77,4033
1989,F,23,69,4034
1970,F,25,81,4035
1982,M,19,60,4036
1973,M,22,79,4037
1981,M,18,56,4038
1979,M,25,79,4039
1970,F,35,54,4040
1997,M,23,82,4041
1981,M,20,67,4042
1997,F,22,92,4043
1984,F,27,91,4044
1982,F,23,86,4045
1982,F,21,51,4046
1965,M,19,85,4047
1990,F,26,78,4048
1975,F,30,68,4049
1973,M,16,62,4050
1976,F,16,83,4051
1999,M,22,99,4052
1989,M,16,74,4053
1981,M,24,87,4054
1978,M,26,59,4055
1979,F,28,86,4056
1978,F,24,70,4057
1983,M,16,54,4058
1987,M,21,87,4059
1981,F,17,89,4060
1979,M,23,63,4061
1978,M,28,93,4062
1975,M,23,83,4063
1962,M,18,100,4064
1986,F,22,73,4065
1981,F,22,83,4066
1980,F,20,100,4067
2000,M,18,96,4068
2001,M,16,42,4069
1971,F,20,98,4070
2001,M,18,63,4071
1960,F,17,71,4072
1988,F,20,91,4073
1992,M,22,63,4074
1980,F,16,68,4075
1990,F,25,100,4076
