year_of_born,gender,age_of_DL,safety_rating,driver_key,claim_number,subrogation,claim_est_payout,liab_prct,claim_date,claim_day_of_week,channel,zip_code,witness_present_ind,policy_report_filed_ind,in_network_bodyshop,accident_key,policyholder_key,vehicle_key
1986,F,19,86,2795,2751907,1,3552.0,32,1/21/2015,Sunday,Online,50047,Y,1,yes,11.0,2391.0,2877.0
1992,M,25,79,2796,5110744,0,1550.48,44,6/6/2015,Tuesday,Broker,80016,Y,0,yes,6.0,2392.0,2878.0
1979,F,20,90,2797,3030753,0,3514.49,55,8/7/2015,Saturday,Broker,80011,N,0,yes,9.0,166.0,2879.0
2000,M,25,65,2798,9245539,0,9630.56,37,12/14/2015,Thursday,Phone,15022,N,1,yes,12.0,2393.0,2880.0
1972,F,24,98,2799,3168393,0,4713.49,55,11/18/2016,Monday,Broker,80005,Y,0,no,10.0,183.0,2881.0
1964,M,17,77,2800,5715303,0,1817.93,44,4/7/2015,Saturday,Broker,50034,Y,1,yes,9.0,436.0,2882.0
1974,F,22,93,2801,9919614,1,1701.83,38,10/22/2016,Sunday,Broker,15012,N,1,yes,8.0,2394.0,2883.0
1985,F,24,74,2802,2916163,0,2610.95,56,4/29/2015,Tuesday,Broker,20148,Y,1,no,3.0,2395.0,2884.0
1954,F,23,66,2803,2129553,0,1113.12,35,1/17/2016,Tuesday,Phone,85065,N,0,yes,2.0,2396.0,2885.0
1982,M,19,80,2804,2442649,0,1605.67,32,2/28/2016,Thursday,Broker,15021,N,0,yes,5.0,43.0,2886.0
2000,M,26,79,2805,4323985,0,19507.75,55,5/13/2015,Tuesday,Broker,50029,N,1,yes,7.0,2397.0,2887.0
1990,F,21,66,2806,8174242,0,912.85,45,12/20/2016,Tuesday,Broker,80034,N,1,yes,11.0,43.0,2888.0
2005,M,20,81,2807,8690083,0,6893.93,30,1/19/2016,Sunday,Phone,80017,Y,0,yes,1.0,2398.0,2889.0
1978,F,19,82,2808,1036996,0,674.08,26,7/21/2016,Wednesday,Broker,20107,Y,1,no,12.0,2399.0,2890.0
2001,F,23,79,2809,4031673,1,556.22,43,12/19/2015,Thursday,Phone,20137,Y,0,yes,3.0,2400.0,2891.0
1973,F,26,63,2810,7589363,0,4913.34,49,9/27/2016,Friday,Broker,15035,N,0,yes,12.0,2401.0,2892.0
1998,M,21,82,2811,3473922,0,2646.71,53,3/21/2016,Tuesday,Broker,85071,Y,0,yes,7.0,2402.0,2893.0
1991,F,18,83,2812,4342252,1,654.49,29,8/14/2016,Saturday,Phone,20109,Y,1,yes,11.0,269.0,2894.0
1987,M,20,48,2813,7390290,0,3530.73,55,5/23/2015,Friday,Broker,85019,Y,0,yes,10.0,2403.0,2895.0
1970,M,29,72,2814,4731307,0,2913.79,45,12/9/2016,Saturday,Phone,85048,Y,1,yes,12.0,2404.0,2896.0
1979,M,21,95,2815,5592199,1,1788.84,33,6/22/2015,Saturday,Phone,85010,Y,0,yes,3.0,2405.0,2897.0
2005,M,19,98,2816,6547317,1,271.2,34,2/1/2016,Saturday,Phone,85008,Y,1,yes,5.0,183.0,2898.0
1984,M,23,71,2817,1576701,0,1184.94,37,1/24/2015,Monday,Online,80013,N,1,yes,12.0,2406.0,2899.0
1967,M,25,81,2818,2508160,1,3250.16,33,10/3/2016,Monday,Broker,20109,N,0,yes,10.0,2407.0,2900.0
1987,M,24,72,2819,2803772,1,1544.01,32,11/30/2015,Saturday,Broker,80023,Y,0,no,2.0,2408.0,2901.0
1963,F,17,72,2820,2943560,0,1888.01,57,1/23/2016,Wednesday,Broker,20104,Y,0,yes,9.0,2409.0,2902.0
1984,M,21,72,1094,7039735,0,7574.21,36,6/26/2016,Friday,Broker,85025,N,0,yes,6.0,2410.0,2903.0
1980,F,21,80,2821,9418735,0,2011.79,40,7/16/2016,Tuesday,Phone,50055,Y,1,yes,4.0,2411.0,2904.0
1977,F,19,56,2822,2098362,0,3969.39,46,8/23/2015,Wednesday,Broker,50034,N,1,no,7.0,2412.0,2905.0
1995,F,21,73,2664,8035051,0,3477.3,50,8/19/2015,Sunday,Broker,20109,Y,0,no,9.0,2190.0,2906.0
1987,F,20,78,2823,4887554,0,3124.7,42,12/16/2016,Tuesday,Online,80106,N,1,yes,3.0,2413.0,2907.0
1968,M,17,72,2824,4669859,0,837.88,30,5/2/2016,Monday,Broker,80021,Y,0,no,7.0,2414.0,2908.0
1964,M,22,76,2825,6587680,0,1448.28,44,10/27/2016,Tuesday,Broker,80101,N,1,yes,9.0,183.0,2909.0
1992,F,20,73,2826,4635324,0,5587.41,33,7/7/2016,Sunday,Broker,50050,N,0,no,8.0,36.0,2910.0
1957,M,20,72,2054,6753601,0,19240.33,35,12/29/2016,Tuesday,Phone,20149,N,1,yes,9.0,2415.0,2911.0
1977,F,17,58,2827,2882543,0,1159.2,45,2/16/2015,Friday,Broker,85083,N,1,yes,11.0,2416.0,2912.0
1978,F,19,96,2828,3533060,0,1987.73,35,11/21/2015,Friday,Phone,15025,Y,1,yes,9.0,2417.0,2913.0
1955,M,16,79,2829,5855279,0,2116.92,44,6/17/2016,Thursday,Online,15044,N,1,yes,7.0,2418.0,2914.0
1985,F,20,60,2830,9078466,0,6941.9,22,12/29/2016,Thursday,Broker,15057,Y,0,yes,1.0,2419.0,2915.0
1974,F,19,41,2831,7075713,0,819.88,62,4/5/2016,Sunday,Online,50047,Y,0,no,7.0,2420.0,2916.0
1973,F,22,73,2832,7476711,1,2082.24,40,11/6/2016,Tuesday,Phone,85021,Y,1,yes,6.0,1893.0,2917.0
1976,M,16,69,2833,2550781,0,2711.24,4,8/28/2016,Friday,Broker,15022,Y,1,yes,12.0,2421.0,2918.0
1997,M,24,51,2834,4723598,0,1517.68,31,8/22/2015,Saturday,Broker,85017,N,1,yes,1.0,2422.0,2919.0
1971,M,24,67,2835,8959209,1,947.23,29,8/1/2016,Sunday,Online,50049,Y,1,yes,1.0,2423.0,2920.0
1997,F,27,96,2836,2186491,0,1329.17,48,10/16/2016,Thursday,Broker,15022,Y,0,no,3.0,2424.0,2921.0
1991,M,18,72,2837,8104752,0,1873.41,53,8/25/2016,Friday,Broker,15009,Y,1,yes,10.0,2425.0,2922.0
1984,M,21,70,2838,9682664,0,900.43,35,6/11/2016,Tuesday,Broker,50048,Y,1,yes,6.0,2426.0,2923.0
1998,M,18,65,2839,5997927,1,2865.63,47,8/8/2015,Monday,Phone,15043,Y,1,yes,3.0,2427.0,2924.0
1981,M,24,64,2840,5412648,0,3936.92,43,2/4/2016,Sunday,Broker,15043,N,1,no,8.0,2428.0,2925.0
1951,F,29,81,2841,5161039,0,3105.13,41,4/24/2015,Thursday,Phone,15005,Y,1,yes,11.0,2429.0,2926.0
1983,F,23,69,243,4127173,1,1228.44,24,12/16/2015,Tuesday,Broker,50029,N,1,yes,10.0,2430.0,2927.0
1977,M,16,66,2842,8913427,0,3655.55,20,12/10/2016,Wednesday,Phone,15021,Y,1,yes,12.0,2431.0,2928.0
1988,F,20,76,2843,2531801,0,4130.72,50,3/26/2016,Monday,Phone,20120,N,0,yes,3.0,227.0,2929.0
1987,F,24,84,2844,5788019,0,2826.24,31,6/11/2016,Thursday,Phone,15014,N,1,yes,2.0,2432.0,2930.0
1969,M,20,79,2845,8818208,0,1131.29,36,6/23/2015,Saturday,Broker,80030,Y,1,no,12.0,2433.0,2931.0
1984,F,23,97,2846,2218127,1,426.9,29,12/14/2015,Friday,Broker,15037,N,1,no,8.0,2434.0,2932.0
1972,F,20,75,2847,6858518,0,581.22,32,12/8/2015,Sunday,Broker,50039,N,1,no,5.0,2435.0,2933.0
2006,F,26,96,2848,7021963,0,1125.64,44,2/11/2016,Wednesday,Broker,85030,Y,0,yes,12.0,466.0,2934.0
1981,F,20,66,2849,3077177,1,9336.76,29,7/25/2016,Saturday,Broker,50002,Y,1,yes,10.0,2436.0,2935.0
1980,M,18,65,2850,7858206,0,14429.62,41,4/2/2016,Friday,Broker,85067,N,1,yes,1.0,2437.0,2936.0
1980,M,22,95,2851,4788686,1,1499.55,38,5/3/2016,Sunday,Online,80002,N,0,yes,10.0,2438.0,2937.0
1998,F,21,81,2852,6718928,0,2311.16,36,2/11/2015,Friday,Broker,50021,N,1,yes,3.0,2439.0,2938.0
1958,M,19,71,2853,6481137,1,870.66,23,6/26/2016,Sunday,Phone,50026,Y,1,yes,10.0,2440.0,2939.0
1955,F,18,50,2854,5564113,1,12701.48,34,2/4/2016,Friday,Online,50009,N,1,yes,11.0,544.0,2940.0
1968,M,16,65,2855,9063372,0,3332.72,24,11/29/2016,Thursday,Broker,80044,N,0,yes,9.0,2441.0,2941.0
1971,M,25,88,2856,9012677,0,8277.84,36,11/30/2015,Saturday,Broker,15035,N,1,no,8.0,2442.0,2942.0
1986,F,24,61,2857,4791807,0,1682.02,32,2/20/2016,Thursday,Broker,20118,N,0,no,5.0,2443.0,2943.0
1973,M,21,71,2858,9512531,0,6968.42,41,2/21/2015,Friday,Phone,50009,N,0,no,10.0,2444.0,2944.0
1968,M,23,98,2859,6750237,0,2107.28,27,1/11/2015,Wednesday,Broker,20160,N,1,no,1.0,2445.0,2945.0
1992,M,19,73,2860,5136975,0,4565.26,50,9/16/2015,Monday,Broker,15005,N,1,yes,3.0,478.0,2946.0
1988,F,19,83,2861,2325604,0,1254.0,55,6/17/2016,Friday,Phone,85024,N,0,yes,2.0,2446.0,2947.0
1980,F,16,64,2862,7794483,1,1949.75,15,8/26/2015,Saturday,Broker,85021,Y,0,yes,9.0,2447.0,2948.0
2001,F,28,76,2863,3579090,0,1230.44,40,12/9/2016,Saturday,Phone,85054,Y,1,no,4.0,2448.0,2949.0
1965,F,25,83,2864,4928932,1,3564.22,35,1/26/2015,Monday,Phone,85007,Y,1,yes,3.0,2449.0,2950.0
1995,F,20,59,2865,6192580,0,7803.09,31,12/18/2016,Friday,Broker,80011,Y,1,yes,11.0,2450.0,2951.0
1995,M,20,80,2866,5540790,0,1210.26,36,8/21/2016,Wednesday,Phone,85060,N,1,yes,8.0,2451.0,2952.0
1993,M,22,100,2867,8432677,1,8174.34,24,10/10/2015,Tuesday,Phone,85031,Y,1,yes,10.0,2452.0,2953.0
1981,M,24,69,2868,1206159,0,4643.03,52,5/23/2015,Thursday,Phone,50039,N,1,no,1.0,2453.0,2954.0
1986,M,25,73,2869,7300790,0,2817.76,22,1/26/2016,Friday,Online,50012,N,0,yes,4.0,2454.0,2955.0
1997,M,23,66,2870,6033810,1,1928.92,29,9/18/2015,Friday,Phone,85064,Y,1,yes,12.0,2455.0,2956.0
1978,M,23,59,2871,2337216,1,3785.3,31,1/7/2015,Tuesday,Broker,85082,Y,1,no,8.0,2456.0,2957.0
1999,M,19,86,2872,1469009,0,2944.85,40,10/21/2015,Wednesday,Online,20109,N,0,no,1.0,2457.0,2958.0
1983,F,17,92,2873,7621735,0,1862.11,53,10/9/2016,Wednesday,Broker,20137,N,0,yes,8.0,2458.0,2959.0
1983,M,22,82,1181,4730841,0,1660.73,46,10/29/2016,Thursday,Online,80005,N,1,no,12.0,2459.0,2960.0
1986,M,21,79,2874,8582152,0,378.2,34,10/3/2016,Monday,Broker,80109,N,1,no,4.0,91.0,2961.0
1979,M,29,74,2875,8886809,0,347.02,46,4/20/2016,Friday,Phone,20122,N,0,no,8.0,2460.0,2962.0
1980,M,20,76,2876,1187115,0,1496.65,62,11/3/2016,Tuesday,Broker,80016,N,0,yes,4.0,2461.0,2963.0
1989,M,22,69,2877,9089676,0,3176.12,43,7/1/2016,Thursday,Broker,20108,N,1,yes,1.0,2462.0,2964.0
1992,M,16,85,2878,1910902,1,18730.38,27,5/25/2015,Wednesday,Broker,85027,N,1,yes,3.0,2463.0,2965.0
1990,F,20,93,2879,3147016,0,4819.19,35,6/22/2015,Tuesday,Broker,15006,N,1,yes,5.0,2360.0,2966.0
2005,M,18,82,2880,2138182,1,11490.77,33,6/17/2016,Friday,Broker,80042,N,1,yes,3.0,2464.0,2967.0
1975,F,20,75,2881,9303430,1,5221.42,34,1/28/2015,Monday,Phone,50038,Y,0,yes,5.0,2465.0,2968.0
1997,M,27,100,2882,9481766,0,3727.58,51,9/16/2016,Friday,Phone,15045,N,1,yes,11.0,2466.0,2969.0
1982,M,22,49,2883,6354675,0,755.9,29,10/11/2016,Monday,Broker,20160,N,0,yes,10.0,1921.0,2970.0
1986,M,21,88,2884,1294106,0,2619.14,25,11/5/2015,Wednesday,Broker,20139,N,1,yes,4.0,2467.0,2971.0
1980,F,20,91,2214,7814057,0,14566.87,43,8/10/2015,Monday,Broker,85014,Y,0,no,7.0,2468.0,2972.0
1991,F,20,66,2885,6376422,0,3193.77,34,6/27/2015,Thursday,Phone,50058,Y,1,yes,12.0,2469.0,2973.0
1968,M,16,92,2886,9271569,0,1386.07,45,6/5/2015,Monday,Broker,85060,Y,1,no,3.0,2470.0,2974.0
1982,F,20,76,2887,3031136,0,2295.45,46,6/1/2015,Monday,Phone,85074,Y,1,yes,7.0,397.0,2975.0
1989,M,18,88,2888,7447352,0,2869.67,39,6/23/2015,Sunday,Broker,85028,N,1,yes,10.0,2471.0,2976.0
2003,M,24,80,2889,5190262,0,1055.84,50,1/21/2015,Wednesday,Broker,80005,N,0,no,12.0,2472.0,2977.0
1979,M,23,79,2393,8906907,0,7478.58,42,8/4/2016,Tuesday,Broker,20137,N,1,yes,3.0,1094.0,2978.0
1982,F,17,96,2890,3143069,0,1778.29,19,3/25/2015,Thursday,Broker,20110,N,1,yes,10.0,2473.0,2979.0
1977,F,21,77,2891,4727770,1,2023.43,38,8/27/2015,Monday,Phone,50009,N,0,yes,11.0,2474.0,2980.0
1988,M,29,65,2892,5595069,1,9480.88,29,7/22/2015,Wednesday,Phone,15005,N,0,yes,8.0,142.0,2981.0
1971,M,17,49,2893,7412224,0,2823.91,64,3/16/2015,Wednesday,Phone,50021,N,1,yes,3.0,2475.0,2982.0
1995,M,24,96,2894,4658169,0,3133.37,41,5/23/2015,Tuesday,Broker,50005,N,1,no,6.0,2476.0,2983.0
1992,M,22,74,2895,1277535,0,3844.17,51,2/14/2015,Friday,Broker,50052,N,0,yes,7.0,1257.0,2984.0
1975,F,20,86,2896,8644156,1,1641.89,35,12/21/2016,Saturday,Phone,20122,Y,0,yes,11.0,2477.0,2985.0
1979,M,22,86,2897,6387456,0,5256.08,42,10/12/2016,Saturday,Phone,20104,N,1,no,12.0,1257.0,2986.0
1978,M,22,74,2898,5601825,0,9119.97,34,3/22/2015,Monday,Broker,50059,N,0,no,11.0,2478.0,2987.0
1964,F,20,89,2899,6096747,1,770.4,36,5/20/2016,Thursday,Online,50058,Y,0,yes,2.0,2479.0,2988.0
1975,M,22,71,2900,6541005,0,1997.74,9,12/16/2015,Thursday,Phone,15044,N,1,yes,4.0,2480.0,2989.0
1998,M,21,79,2901,7605541,0,6616.14,45,1/17/2015,Wednesday,Broker,15012,Y,0,yes,4.0,227.0,2990.0
1976,F,21,100,2902,3381789,1,1444.67,29,12/7/2016,Tuesday,Broker,15054,Y,1,yes,8.0,190.0,2991.0
1984,F,21,63,2903,8879537,0,5452.91,49,9/23/2016,Tuesday,Phone,15052,Y,1,no,9.0,2481.0,2992.0
1989,M,19,85,2904,8455374,0,6616.85,22,12/28/2016,Saturday,Phone,20101,N,1,no,4.0,2482.0,2993.0
1977,M,28,98,2905,1512954,0,1668.96,52,6/8/2015,Friday,Phone,85036,Y,1,no,9.0,2483.0,2994.0
1988,F,21,61,2906,3478619,0,1590.0,42,2/2/2016,Tuesday,Broker,20163,N,0,no,8.0,2484.0,2995.0
1983,F,22,56,2907,9599916,0,651.29,54,8/15/2015,Wednesday,Broker,80030,Y,1,yes,5.0,2485.0,2996.0
1991,F,22,100,2908,5886802,0,5033.77,57,8/29/2015,Wednesday,Online,85069,N,1,no,1.0,2486.0,2997.0
1973,M,21,100,2909,2135328,0,3760.77,44,3/20/2016,Friday,Online,80022,N,0,yes,4.0,2487.0,2998.0
1984,M,17,46,2910,7866939,0,2862.36,29,7/23/2015,Tuesday,Broker,80106,N,0,no,9.0,2488.0,2999.0
1974,M,23,83,2911,9298659,0,833.6,49,7/9/2015,Sunday,Phone,85011,Y,0,no,2.0,2489.0,3000.0
1953,M,28,100,2912,5652587,0,3447.99,36,4/1/2016,Wednesday,Phone,20122,Y,0,yes,11.0,2490.0,3001.0
1973,M,25,62,2913,3064346,0,4078.79,48,4/17/2016,Thursday,Broker,85080,Y,1,yes,3.0,2491.0,3002.0
1971,M,22,92,2914,4749888,0,1280.23,48,4/13/2016,Tuesday,Phone,15057,N,1,yes,6.0,489.0,3003.0
1977,F,22,88,2915,7457184,0,819.0,30,10/26/2016,Friday,Phone,85051,Y,0,no,5.0,2492.0,3004.0
1978,M,23,80,2916,2992663,0,2892.19,47,2/12/2015,Tuesday,Online,80016,N,0,yes,7.0,2493.0,3005.0
1987,M,18,55,2917,1932386,0,2569.73,38,7/15/2015,Sunday,Broker,85062,N,1,yes,7.0,2494.0,3006.0
1976,F,20,74,2918,6210000,0,3418.72,38,5/12/2016,Friday,Broker,50057,Y,0,yes,8.0,2495.0,3007.0
1997,F,27,64,2919,5387421,0,7962.58,44,7/14/2016,Saturday,Phone,15010,N,0,no,1.0,202.0,3008.0
1977,F,16,71,2920,7331585,1,4166.28,31,7/16/2016,Sunday,Broker,50047,Y,1,no,3.0,2496.0,3009.0
1971,F,24,85,2921,1073049,0,1059.39,54,5/9/2015,Wednesday,Broker,20129,N,0,no,4.0,2497.0,3010.0
1993,M,21,52,2922,8549417,0,2139.12,42,1/7/2016,Sunday,Online,85070,Y,1,yes,1.0,36.0,3011.0
1986,M,20,61,2923,8902152,0,3352.59,21,2/20/2016,Friday,Online,80105,Y,1,no,1.0,43.0,3012.0
1979,M,19,96,2924,1354009,0,1883.96,46,3/31/2016,Sunday,Broker,80027,Y,1,yes,7.0,37.0,3013.0
1976,F,28,61,2925,5290619,0,1288.68,34,11/4/2015,Tuesday,Broker,80110,Y,0,no,5.0,36.0,3014.0
1971,M,20,58,2926,3104067,1,1160.94,35,9/13/2015,Thursday,Online,85062,Y,1,no,1.0,43.0,3015.0
1977,F,21,76,1342,7581824,0,14433.29,43,11/20/2016,Thursday,Broker,50056,Y,0,yes,5.0,2498.0,3016.0
1989,F,20,41,2927,7021009,0,12342.33,40,4/18/2015,Thursday,Broker,20116,N,1,no,11.0,2499.0,3017.0
1988,F,25,71,2928,6530960,0,9878.1,34,5/8/2016,Saturday,Phone,15001,N,1,yes,10.0,2500.0,3018.0
1975,M,23,93,2929,8648801,0,2444.2,45,2/16/2015,Friday,Phone,80105,N,1,yes,12.0,1414.0,3019.0
1981,M,17,75,2930,7073208,1,973.59,29,5/27/2016,Friday,Online,20110,N,1,yes,10.0,2501.0,3020.0
1999,F,22,66,2931,5298903,1,954.85,30,8/11/2015,Friday,Broker,20138,N,0,no,12.0,2502.0,3021.0
1990,F,19,81,2932,6256825,0,10104.28,38,6/21/2015,Wednesday,Phone,80105,Y,0,no,1.0,2503.0,3022.0
1979,M,23,75,2933,5350217,0,1915.16,12,12/14/2015,Saturday,Online,15050,Y,1,no,4.0,2504.0,3023.0
1982,M,30,74,2934,8129201,1,2654.22,33,8/6/2016,Saturday,Broker,85072,N,0,yes,10.0,2505.0,3024.0
1984,F,19,83,2935,2853576,0,1435.67,40,3/12/2015,Monday,Online,15010,N,1,yes,4.0,2506.0,3025.0
1982,F,25,50,2936,8212187,0,3257.0,42,5/10/2015,Thursday,Broker,50020,Y,1,no,10.0,2507.0,3026.0
1973,M,21,87,2937,6469610,0,3653.28,36,10/4/2016,Wednesday,Broker,15055,N,1,yes,4.0,74.0,3027.0
1996,M,24,82,2938,6594275,0,532.22,35,12/27/2016,Thursday,Online,80031,N,0,no,8.0,2508.0,3028.0
1977,F,31,100,2939,3558282,1,12077.45,40,2/11/2016,Saturday,Phone,80030,N,1,yes,7.0,189.0,3029.0
1981,F,17,70,1894,9858645,0,4013.97,44,8/20/2016,Thursday,Broker,20148,Y,1,no,2.0,2509.0,3030.0
1976,F,20,71,2940,1262836,0,7771.45,49,2/9/2016,Tuesday,Phone,15021,N,1,yes,12.0,2510.0,3031.0
1993,M,16,72,2941,1179639,0,7820.43,26,9/20/2015,Tuesday,Phone,50051,Y,1,yes,11.0,2511.0,3032.0
1971,F,22,66,2942,7958189,0,4313.7,34,8/9/2015,Monday,Phone,50051,N,1,no,1.0,91.0,3033.0
1993,M,16,81,1323,9561560,0,2026.49,46,12/13/2015,Saturday,Phone,20129,N,1,yes,9.0,2512.0,3034.0
1981,F,21,63,2943,5577821,0,1116.73,30,12/9/2016,Wednesday,Phone,50007,N,1,yes,11.0,1006.0,3035.0
1970,F,28,97,2944,3497217,0,10733.61,39,3/23/2015,Tuesday,Online,20116,N,1,yes,12.0,2513.0,3036.0
1979,M,22,69,920,4471820,0,8884.93,43,2/23/2015,Thursday,Phone,85018,Y,1,yes,2.0,2514.0,3037.0
1949,M,18,100,2945,4908674,0,2864.47,22,3/16/2016,Thursday,Phone,20112,N,1,yes,5.0,2515.0,3038.0
1964,M,16,67,2946,4595918,0,1626.52,16,11/4/2016,Saturday,Broker,80002,N,1,yes,5.0,2516.0,3039.0
1987,F,20,96,2947,8007999,0,9785.92,50,5/25/2015,Sunday,Phone,20148,Y,0,yes,3.0,2517.0,3040.0
1978,F,21,74,2948,4273456,0,1314.14,48,11/23/2016,Tuesday,Phone,20165,Y,1,yes,9.0,2518.0,3041.0
2000,M,16,41,2949,6260121,1,1416.83,25,9/28/2016,Saturday,Broker,80014,N,1,no,11.0,2519.0,3042.0
1953,F,26,92,2950,7674947,0,3362.95,46,5/21/2016,Saturday,Phone,85072,N,0,no,6.0,2520.0,3043.0
1990,M,21,88,2951,9563858,0,1731.39,33,3/6/2015,Monday,Phone,15032,N,1,yes,7.0,2521.0,3044.0
1982,F,27,65,2952,2793256,0,1081.99,47,6/20/2015,Sunday,Broker,85069,Y,1,yes,10.0,122.0,3045.0
1987,F,21,69,2953,5615439,1,2557.55,26,3/22/2016,Monday,Online,50008,Y,1,yes,7.0,64.0,3046.0
2003,F,23,99,2954,2519264,1,13738.4,32,11/17/2016,Wednesday,Broker,80018,Y,1,yes,11.0,2522.0,3047.0
1986,M,19,80,870,5733634,0,5625.38,41,11/30/2016,Saturday,Broker,50021,N,0,yes,12.0,833.0,3048.0
1981,F,21,78,2955,9571356,1,1042.99,41,12/30/2016,Sunday,Broker,80010,N,0,yes,11.0,2523.0,3049.0
1971,F,21,57,2956,1978575,1,5210.47,32,4/30/2015,Tuesday,Phone,50054,Y,1,yes,10.0,2524.0,3050.0
1994,M,16,57,2957,9753439,0,1401.68,50,9/6/2016,Monday,Phone,80046,Y,1,yes,8.0,2525.0,3051.0
1993,F,20,56,2958,5550891,0,13329.7,45,3/1/2016,Thursday,Phone,20132,N,0,no,10.0,2526.0,3052.0
1976,F,23,74,2203,3117363,1,1557.16,29,4/24/2015,Sunday,Broker,80011,Y,1,yes,7.0,2527.0,3053.0
1959,M,23,83,2959,4515930,0,13521.47,39,12/24/2016,Saturday,Phone,15021,N,1,yes,9.0,2528.0,3054.0
1982,M,23,71,2960,1210234,0,12305.57,28,2/16/2015,Thursday,Phone,50020,N,0,yes,5.0,2529.0,3055.0
1996,M,21,54,2961,6462380,0,1420.71,33,12/29/2016,Monday,Broker,50020,Y,0,yes,1.0,1055.0,3056.0
1997,M,17,64,2962,5695351,0,1401.28,50,10/31/2016,Thursday,Phone,85076,N,0,yes,1.0,2530.0,3057.0
1991,M,24,100,2963,2238215,1,433.0,30,3/21/2015,Wednesday,Broker,20113,Y,1,yes,2.0,2531.0,3058.0
1994,F,20,76,2964,9860674,0,1430.85,42,6/24/2015,Sunday,Broker,50009,N,1,yes,2.0,2532.0,3059.0
1989,M,20,46,2965,4291471,0,2052.38,53,9/10/2015,Saturday,Broker,20120,N,0,yes,11.0,2533.0,3060.0
1978,F,21,56,2966,6873067,0,6514.08,39,5/20/2016,Wednesday,Broker,85016,Y,1,no,12.0,43.0,3061.0
1977,F,22,58,2967,4152823,0,6722.92,27,7/25/2015,Sunday,Online,15025,N,1,yes,8.0,2534.0,3062.0
1982,F,24,77,2968,3567692,0,5148.34,51,12/15/2016,Friday,Broker,20130,Y,1,yes,3.0,2535.0,3063.0
1996,M,25,69,2969,6393106,0,498.56,29,10/11/2016,Monday,Online,15045,N,1,no,10.0,2536.0,3064.0
1976,F,20,83,2970,5315177,1,3629.49,33,12/14/2016,Tuesday,Broker,50047,Y,1,yes,8.0,2537.0,3065.0
2001,M,19,100,2971,8611919,0,974.19,53,4/24/2016,Monday,Broker,50001,Y,0,yes,3.0,2538.0,3066.0
1996,M,18,73,2972,5412379,1,3585.51,42,7/13/2015,Saturday,Phone,85054,N,0,no,2.0,2539.0,3067.0
1983,F,16,87,2973,9715066,0,1264.03,28,12/13/2016,Monday,Phone,85026,N,0,no,12.0,2540.0,3068.0
1992,F,27,82,2974,2642158,0,3949.38,34,3/30/2015,Tuesday,Online,20144,Y,0,no,1.0,2541.0,3069.0
1966,F,18,72,2975,8642936,0,3205.14,48,3/24/2015,Sunday,Broker,15009,N,0,yes,3.0,2542.0,3070.0
1973,F,27,86,2976,7365692,0,1090.12,45,5/4/2016,Tuesday,Phone,20141,N,1,yes,8.0,141.0,3071.0
1966,M,19,89,2977,2127232,0,3379.45,37,3/6/2016,Sunday,Phone,15050,N,0,yes,10.0,2543.0,3072.0
1985,M,24,70,2978,8548484,0,626.34,35,10/11/2016,Sunday,Phone,20112,N,1,yes,10.0,2544.0,3073.0
1987,M,16,90,2979,6279027,0,2477.9,28,8/6/2016,Thursday,Broker,85035,N,1,yes,1.0,2545.0,3074.0
1969,F,22,99,2980,6080452,0,4287.33,44,8/17/2015,Sunday,Online,50003,N,1,no,3.0,64.0,3075.0
1961,M,26,86,2981,6449959,0,1162.65,52,2/23/2016,Wednesday,Broker,85024,N,1,yes,12.0,2449.0,3076.0
1977,F,29,70,2982,5077486,1,2581.32,39,2/14/2016,Tuesday,Broker,20106,Y,1,yes,1.0,2546.0,3077.0
1980,F,19,51,2983,5250451,0,523.73,42,4/20/2016,Tuesday,Broker,50047,N,1,no,6.0,2547.0,3078.0
1985,M,23,90,2984,9581184,0,2178.93,49,9/4/2015,Saturday,Online,15028,N,1,yes,10.0,2548.0,3079.0
1985,F,21,54,2985,6231544,1,713.17,33,1/5/2015,Wednesday,Broker,20120,N,1,yes,8.0,2549.0,3080.0
1968,F,27,97,2986,8168880,0,4684.13,32,9/29/2015,Monday,Broker,50025,Y,0,no,11.0,2550.0,3081.0
1975,M,28,71,2987,4616393,1,4763.02,36,11/25/2015,Friday,Phone,15020,Y,1,yes,8.0,2551.0,3082.0
1979,M,21,53,2988,9305492,0,2831.44,30,10/10/2015,Friday,Phone,85025,N,0,no,9.0,2552.0,3083.0
1986,F,26,79,2989,6687461,0,3912.18,36,1/17/2016,Thursday,Phone,20152,Y,1,yes,12.0,2553.0,3084.0
1984,F,21,67,2990,3411412,0,12553.94,35,7/25/2016,Tuesday,Online,80105,N,1,yes,10.0,2554.0,3085.0
1986,M,20,75,2991,2739701,0,1308.9,40,1/8/2016,Thursday,Broker,20156,Y,1,yes,10.0,2555.0,3086.0
1972,F,22,74,2992,2946475,0,6587.57,48,5/1/2016,Friday,Broker,50027,N,0,yes,7.0,2556.0,3087.0
1998,M,23,75,2993,5031254,0,2239.85,46,12/5/2015,Saturday,Broker,20160,N,1,yes,4.0,2557.0,3088.0
1962,F,24,74,2994,8097737,0,1860.4,50,7/3/2016,Saturday,Broker,15027,Y,1,yes,8.0,2558.0,3089.0
1987,M,31,63,2995,2318356,0,4518.87,45,9/12/2016,Sunday,Online,15004,Y,1,no,1.0,2559.0,3090.0
